iter	Passed	Remaining
0	139	139742
1	142	70884
2	144	47869
3	145	36352
4	147	29446
5	150	24852
6	151	21550
7	153	19064
8	155	17124
9	157	15567
10	158	14292
11	160	13234
12	162	12340
13	164	11574
14	166	10906
15	167	10327
16	169	9812
17	171	9359
18	173	8947
19	175	8582
20	176	8247
21	178	7945
22	180	7670
23	182	7414
24	184	7182
25	185	6966
26	187	6765
27	189	6579
28	191	6404
29	193	6242
30	194	6090
31	196	5946
32	198	5812
33	200	5688
34	201	5563
35	203	5450
36	205	5342
37	207	5242
38	208	5145
39	210	5054
40	212	4967
41	214	4887
42	216	4809
43	217	4733
44	219	4661
45	221	4587
46	222	4521
47	224	4457
48	226	4397
49	228	4339
50	229	4278
51	231	4228
52	234	4181
53	236	4134
54	237	4081
55	239	4035
56	241	3989
57	242	3945
58	244	3897
59	246	3857
60	248	3818
61	249	3781
62	251	3744
63	253	3708
64	255	3673
65	257	3639
66	259	3606
67	260	3575
68	262	3544
69	264	3513
70	266	3484
71	268	3456
72	269	3427
73	271	3400
74	273	3374
75	275	3347
76	277	3322
77	279	3298
78	280	3268
79	282	3244
80	283	3221
81	285	3199
82	287	3177
83	289	3156
84	291	3135
85	293	3115
86	294	3095
87	296	3076
88	298	3057
89	300	3037
90	301	3013
91	303	2995
92	305	2977
93	307	2960
94	309	2944
95	310	2927
96	312	2910
97	314	2894
98	316	2879
99	318	2863
100	320	2848
101	321	2833
102	323	2820
103	325	2803
104	327	2789
105	328	2769
106	330	2756
107	332	2742
108	333	2729
109	335	2716
110	337	2705
111	340	2696
112	342	2684
113	344	2673
114	345	2662
115	347	2649
116	349	2639
117	350	2623
118	352	2612
119	354	2596
120	355	2585
121	357	2574
122	359	2564
123	361	2554
124	363	2543
125	365	2533
126	367	2523
127	369	2514
128	370	2504
129	372	2495
130	374	2485
131	376	2475
132	378	2466
133	380	2457
134	382	2448
135	384	2439
136	385	2431
137	387	2422
138	389	2414
139	391	2406
140	393	2397
141	395	2389
142	397	2380
143	399	2372
144	401	2365
145	403	2358
146	405	2350
147	407	2343
148	409	2336
149	410	2328
150	412	2321
151	414	2312
152	416	2305
153	418	2298
154	420	2291
155	422	2284
156	424	2277
157	426	2271
158	428	2264
159	429	2257
160	432	2252
161	433	2244
162	435	2237
163	437	2231
164	439	2225
165	441	2219
166	443	2213
167	445	2207
168	447	2201
169	449	2195
170	451	2190
171	453	2185
172	455	2179
173	457	2173
174	459	2168
175	461	2162
176	463	2155
177	465	2150
178	467	2144
179	469	2138
180	471	2133
181	473	2128
182	475	2123
183	477	2118
184	479	2113
185	481	2108
186	483	2103
187	485	2098
188	487	2093
189	489	2088
190	492	2083
191	493	2076
192	495	2070
193	497	2066
194	499	2060
195	501	2055
196	503	2050
197	504	2045
198	506	2038
199	508	2032
200	509	2027
201	511	2022
202	513	2016
203	515	2011
204	517	2006
205	519	2001
206	521	1996
207	522	1991
208	524	1986
209	526	1980
210	528	1975
211	530	1971
212	532	1966
213	534	1961
214	536	1958
215	538	1954
216	540	1949
217	542	1944
218	544	1940
219	545	1935
220	547	1930
221	549	1926
222	551	1921
223	553	1917
224	555	1912
225	556	1906
226	558	1902
227	560	1897
228	562	1892
229	564	1888
230	566	1884
231	567	1879
232	569	1875
233	571	1871
234	573	1867
235	575	1862
236	577	1858
237	579	1854
238	580	1849
239	582	1845
240	584	1841
241	586	1837
242	588	1833
243	590	1828
244	592	1824
245	593	1820
246	595	1816
247	597	1812
248	599	1808
249	601	1804
250	603	1800
251	605	1796
252	607	1792
253	608	1788
254	610	1784
255	612	1780
256	614	1776
257	616	1772
258	618	1768
259	619	1764
260	621	1760
261	623	1756
262	625	1752
263	627	1749
264	629	1745
265	631	1742
266	633	1738
267	635	1734
268	636	1730
269	638	1727
270	640	1723
271	642	1719
272	644	1716
273	646	1713
274	648	1709
275	650	1705
276	652	1702
277	653	1697
278	655	1693
279	657	1689
280	659	1686
281	661	1683
282	663	1679
283	664	1676
284	666	1672
285	668	1669
286	670	1665
287	672	1662
288	674	1658
289	676	1655
290	677	1651
291	679	1648
292	681	1644
293	683	1641
294	685	1637
295	687	1634
296	688	1630
297	690	1627
298	692	1623
299	694	1620
300	696	1617
301	698	1613
302	700	1610
303	701	1607
304	703	1603
305	705	1600
306	707	1597
307	709	1594
308	711	1590
309	713	1587
310	715	1584
311	716	1581
312	718	1576
313	720	1573
314	722	1570
315	724	1567
316	725	1564
317	727	1560
318	729	1557
319	731	1553
320	733	1550
321	735	1547
322	737	1545
323	739	1542
324	741	1539
325	743	1536
326	744	1532
327	746	1529
328	748	1526
329	750	1523
330	752	1520
331	754	1517
332	756	1514
333	757	1511
334	759	1508
335	761	1505
336	763	1501
